userName,score,at,content
Tiara Amanda,5,2022-04-03 13:29:53,orangya ramah dan menyengkan trimksih
Kaizar Heril,5,2022-04-03 13:28:08,Sangat banyak membantu
Tikkhavedo Tunky,1,2022-04-03 12:28:48,"Bug sinyal sangat mengganggu, tlg diperbaiki lg biar kl pesan itu tdk sulit sinyalnya pdhal jaringannya bagus, lancar tp buka Grab malah mencari jaringan katanya"
Tikkhavedo Tunky,1,2022-04-03 12:28:48,"Bug sinyal sangat mengganggu, tlg diperbaiki lg biar kl pesan itu tdk sulit sinyalnya pdhal jaringannya bagus, lancar tp buka Grab malah mencari jaringan katanya"
Soegiono Liem,3,2022-04-03 12:27:18,Tolong petanya nya di update dong. Anda pakai peta siapa sih bodoh amat. Koordinat sudah betul alamat selalu salah. Di masukin alamat yang betul tetap tidak ada. Padahal cari di google maps ada. Bikin emosi jiwa raga maps anda.
Soegiono Liem,3,2022-04-03 12:27:18,Tolong petanya nya di update dong. Anda pakai peta siapa sih bodoh amat. Koordinat sudah betul alamat selalu salah. Di masukin alamat yang betul tetap tidak ada. Padahal cari di google maps ada. Bikin emosi jiwa raga maps anda.
Rani Yuiastuti99,1,2022-04-03 12:20:42,Upgrade mulu giliran nyesuaiin alamat susah
Meisi Nurhayati,5,2022-04-03 12:18:11,"mnyenangkn driver grab nya juga rmah,,,trima kasih"
irvan dwi erliyadi,1,2022-04-03 12:06:47,"Udah pesen makan berkali² drivernya ga niat ambil order, nunggu sampe kelaperan berkali² di cancel, tegasin lah ga main cancel order seenaknya"
Joshua Kesnai,5,2022-04-03 12:05:31,pelayanan ok bangat dan cepat sampai tempat tujuan
Kesyza Andriana,5,2022-04-03 11:49:57,"Aplikasinya sih udah bagus cuman drivernya yang ngga banget, sebenernya kualifikasi jadi driver grab gimana yah. Saya bukan sekali dua kali mengalami hal yang serupa lho. Drivernya ngga sopan banget(walaupun ngga semua driver gini), genit, dan yang lebih parah suka pegang"" ini bikin penumpang ngga nyaman banget tolong. Tolong jadiin evaluasi yah"
cataleya rose,4,2022-04-03 11:49:19,Kenapa setelah pembaruan mau masukin promo gak ada ya...kirain gangguan gt..tp ini udh brp hari ttp ky gt..pdhl sebelumnya bagus..tolong dong d perbaiki lagi...
cataleya rose,4,2022-04-03 11:49:19,Kenapa setelah pembaruan mau masukin promo gak ada ya...kirain gangguan gt..tp ini udh brp hari ttp ky gt..pdhl sebelumnya bagus..tolong dong d perbaiki lagi...
Yosua Steven,1,2022-04-03 11:39:39,"Pengiriman makanan sangat lama, fitur pembatalkan tidak bisa, di chat/life chat tidak bisa."
Sony kurniawan,1,2022-04-03 11:14:42,"Aplikasi gk beres, masa masih jam 6 malam gk ada driver, yg bener saja"
dwimeris tanjung,5,2022-04-03 10:58:11,jangan pernah persulit driver
A11DI 9999,1,2022-04-03 10:49:13,Sangat buruk pesan makanan sering dicancel padahal dia sudah mau ambil pesanannya tiba2 dibatalin.semoga driver yang batalin diberikan azab yang setimpal
Euis Kasmi,5,2022-04-03 10:42:17,aplikasi nya bagus sangat membantu 🤗
Euis Kasmi,5,2022-04-03 10:42:17,aplikasi nya bagus sangat membantu 🤗
Daudi Fadillah,1,2022-04-03 10:39:06,"Tolong untuk para drivernya bisa ditingkatkan lagi, terlalu lama menunggu. Lebih dari 20 menit, telat sampai kerja jadinya"
